listing_name,office_type,office_name,address,city,state,zip,phone,area_of_responsibility,outreach_email,address_string,lon,lat
Fort Snelling - ERO,ERO,St Paul Field Office,"1 Federal Drive, Suite 1601",Fort Snelling,MN,55111,(612) 409-7799,"Iowa, Minnesota, Nebraska, North Dakota, South Dakota",StPaul.Outreach@ice.dhs.gov,"1 Federal Drive, Suite 1601, Fort Snelling, MN, 55111, USA",-93.1948264,44.8941668
Harlingen - ERO,ERO,Harlingen Field Office,1717 Zoy Street,Harlingen,TX,78552,(956) 389-7884,South Texas,Harlingen.Outreach@ice.dhs.gov,"1717 Zoy Street, Harlingen, TX, 78552, USA",-97.714091,26.1776479
Houston - ERO,ERO,Houston Field Office,126 Northpoint Drive,Houston,TX,77060,(281) 774-4816,Southeast Texas,Houston.Outreach@ice.dhs.gov,"126 Northpoint Drive, Houston, TX, 77060, USA",-95.40659,29.9375017
Los Angeles - ERO,ERO,Los Angeles Field Office,"300 North Los Angeles St., Room 7631",Los Angeles,CA,90012,(213) 830-7911,"LA Metro (LA, Orange, Riverside, San Bernardino counties); Central Coast (Ventura, Santa Barbara, San Luis Obispo)",LosAngeles.Outreach@ice.dhs.gov,"300 North Los Angeles St., Room 7631, Los Angeles, CA, 90012, USA",-118.2397336,34.0537633
Miramar - ERO,ERO,Miramar Sub Office,2805 SW 145th Ave,Miramar,FL,33027,(954) 843-5800,"Florida, Puerto Rico, U.S. Virgin Islands",Miami.Outreach@ice.dhs.gov,"2805 SW 145th Ave, Miramar, FL, 33027, USA",-80.33946019999999,25.9827432
New York - ERO,ERO,New York City Field Office,"26 Federal Plaza, 9th Floor",New York,NY,10278,(212) 436-9315,"Five NYC boroughs; Duchess, Nassau, Putnam, Suffolk, Sullivan, Orange, Rockland, Ulster, Westchester counties",NewYork.Outreach@ice.dhs.gov,"26 Federal Plaza, 9th Floor, New York, NY, 10278, USA",-74.0037546,40.7152635
Newark - ERO,ERO,Newark Field Office,"970 Broad St., 11th Floor",Newark,NJ,07102,(862) 445-9200,New Jersey,Newark.Outreach@ice.dhs.gov,"970 Broad St., 11th Floor, Newark, NJ, 07102, USA",-74.1742312,40.7304926
Philadelphia - ERO,ERO,Philadelphia Field Office,114 North 8th Street,Philadelphia,PA,19107,(215) 656-7164,"Delaware, Pennsylvania, West Virginia",Philadelphia.Outreach@ice.dhs.gov,"114 North 8th Street, Philadelphia, PA, 19107, USA",-75.15313019999999,39.9538838
Phoenix - ERO,ERO,Phoenix Field Office,2035 N. Central Avenue,Phoenix,AZ,85004,(602) 257-5900,Arizona,Phoenix.Outreach@ice.dhs.gov,"2035 N. Central Avenue, Phoenix, AZ, 85004, USA",-112.0731981,33.4708461
San Antonio - ERO,ERO,San Antonio Field Office,"1777 NE Loop 410, Floor 15",San Antonio,TX,78217,(210) 283-4750,Central Texas,SanAntonio.Outreach@ice.dhs.gov,"1777 NE Loop 410, Floor 15, San Antonio, TX, 78217, USA",-98.4366327,29.517042
San Diego - ERO,ERO,San Diego Field Office,"880 Front Street, #2242",San Diego,CA,92101,(619) 436-0410,San Diego and Imperial County,SanDiego.Outreach@ice.dhs.gov,"880 Front Street, #2242, San Diego, CA, 92101, USA",-117.1645829,32.7143776
San Francisco - ERO,ERO,San Francisco Field Office,"630 Sansome Street, Rm 590",San Francisco,CA,94111,(415) 365-8800,"Northern California, Hawaii, Guam, Saipan",SanFrancisco.Outreach@ice.dhs.gov,"630 Sansome Street, Rm 590, San Francisco, CA, 94111, USA",-122.401521,37.7962167
Seattle - ERO,ERO,Seattle Field Office,12500 Tukwila International Boulevard,Seattle,WA,98168,(206) 277-2000,"Alaska, Oregon, Washington",Seattle.Outreach@ice.dhs.gov,"12500 Tukwila International Boulevard, Seattle, WA, 98168, USA",-122.2914497,47.4907997
St. Rose - ERO,ERO,New Orleans Field Office,181 James Drive W,St. Rose,LA,70087,NA,"Alabama, Arkansas, Louisiana, Mississippi, Tennessee",NewOrleans.Outreach@ice.dhs.gov,"181 James Drive W, St. Rose, LA, 70087, USA",-90.2854711,29.9857549
West Valley City - ERO,ERO,Salt Lake City Field Office,"2975 Decker Lake Drive, Suite 100",West Valley City,UT,84119-6096,(801) 736-1200,"Utah, Idaho, Montana, Nevada",SaltLakeCity.Outreach@ice.dhs.gov,"2975 Decker Lake Drive, Suite 100, West Valley City, UT, 84119-6096, USA",-111.9461895,40.7062912
