"facility_id","canonical_id","canonical_name","canonical_city","canonical_state","facility_name","facility_city","facility_state"
45,43,"Cabarrus County Jail","Concord","NC","Cabarrus County Jail","Concord","NC"
46,44,"Cache County Jail","Logan","UT","Cache County Jail","Logan","UT"
47,45,"Caldwell County Detention Center","Kingston","MO","Caldwell County Detention Center","Kingston","MO"
48,46,"Calhoun County Correctional Center","Battle Creek","MI","Calhoun County Correctional Center","Battle Creek","MI"
49,48,"California City Immigration Processing Center","California City","CA","California City Correctional Center","California City","CA"
50,48,"California City Immigration Processing Center","California City","CA","California City Immigration Processing Center","California City","CA"
51,50,"Cambria County Prison","Ebensburg","PA","Cambria County Jail","Ebensburg","PA"
52,50,"Cambria County Prison","Ebensburg","PA","Cambria County Prison","Ebensburg","PA"
53,108,"Camp East Montana","El Paso","TX","Camp East Montana","El Paso","TX"
54,52,"Campbell County Detention Center","Newport","KY","Campbell County Detention Center","Newport","KY"
55,53,"Caroline Detention Facility","Bowling Green","VA","Caroline Detention Facility","Bowling Green","VA"
56,54,"Carver County Jail","Chaska","MN","Carver County Jail","Chaska","MN"
57,56,"Cascade County Jail, Montana","Great Falls","MT","Cascade County Jail (Montana)","Great Falls","MT"
58,56,"Cascade County Jail, Montana","Great Falls","MT","Cascade County Jail, Montana","Great Falls","MT"
59,57,"Cass County Jail","Plattsmouth","NE","Cass County Jail","Plattsmouth","NE"
60,58,"Catahoula Correctional Center","Harrisonburg","LA","Catahoula Correctional Center","Harrisonburg","LA"
61,61,"Central Arizona Florence Correctional Complex","Florence","AZ","Central Arizona Florence Correctional Complex","Florence","AZ"
62,208,"Central Louisiana ICE Processing Center (CLIPC)","Jena","LA","Central Louisiana ICE Processing Center (CLIPC)","Jena","LA"
63,63,"Central Texas Detention Facility","San Antonio","TX","Central Texas Detention Facility","San Antonio","TX"
64,64,"Charleston County Detention Center","North Charleston","SC","Charleston County Detention Center","North Charleston","SC"
65,66,"Chase County Jail","Cottonwood Falls","KS","Chase County Detention Facility","Cottonwood Falls","KS"
66,66,"Chase County Jail","Cottonwood Falls","KS","Chase County Jail","Cottonwood Falls","KS"
67,67,"Chautauqua County Jail","Mayville","NY","Chautauqua County Jail","Mayville","NY"
68,68,"Chavez Detention Center","Roswell","NM","Chavez Detention Center","Roswell","NM"
69,70,"Chippewa County SSM","Sault Ste. Marie","MI","Chippewa County SSM","Sault Sainte Marie","MI"
70,70,"Chippewa County SSM","Sault Ste. Marie","MI","Chippewa County SSM","Sault Ste. Marie","MI"
71,71,"Chittenden Regional Correctional Facility","South Burlington","VT","Chittenden Regional Correctional Facility","South Burlington","VT"
72,72,"Christian County Jail","Hopkinsville","KY","Christian County Jail","Hopkinsville","KY"
73,73,"Christian County Jail","Ozark","MO","Christian County Jail","Ozark","MO"
74,74,"Cibola County Correctional Center","Milan","NM","Cibola County Correctional Center","Milan","NM"
75,75,"Cibola County Detention Center","Grants","NM","Cibola County Detention Center","Grants","NM"
76,76,"Cimmarron Correctional Facility","Cushing","OK","Cimmarron Correctional Facility","Cushing","OK"
77,77,"Clark County Jail (Indiana)","Jeffersonville","IN","Clark County Jail (Indiana)","Jeffersonville","IN"
78,79,"Clay County Justice Center","Brazil","IN","Clay County Jail","Brazil","IN"
79,79,"Clay County Justice Center","Brazil","IN","Clay County Justice Center","Brazil","IN"
80,80,"Clinton County Correctional Facility","McElhattan","PA","Clinton County Correctional Facility","Lock Haven","PA"
81,80,"Clinton County Correctional Facility","McElhattan","PA","Clinton County Correctional Facility","McElhattan","PA"
82,82,"Clinton County Jail","Frankfort","IN","Clinton County Jail","Frankfort","IN"
83,83,"Clinton County Jail","Plattsburgh","NY","Clinton County Jail","Plattsburgh","NY"
84,84,"Coastal Bend Detention Facility","Robstown","TX","Coastal Bend Detention Facility","Robstown","TX"
85,85,"Cobb County Jail","Marietta","GA","Cobb County Jail","Marietta","GA"
86,86,"Collier County Naples Jail Center","Naples","FL","Collier County Naples Jail Center","Naples","FL"
87,87,"Comfort Suites-Casa Consuelo","El Paso","TX","Comfort Suites-Casa Consuelo","El Paso","TX"
88,88,"Correctional. Center of Northwest Ohio","Stryker","OH","Correctional. Center of Northwest Ohio","Stryker","OH"
89,89,"Cowlitz County Juvenile","Longview","WA","Cowlitz County Juvenile","Longview","WA"
90,90,"Crow Wing County Jail","Brainerd","MN","Crow Wing County Jail","Brainerd","MN"
91,91,"Cumberland County Jail","Portland","ME","Cumberland County Jail","Portland","ME"
92,92,"Dakota County Jail","Dakota City","NE","Dakota County Jail","Dakota City","NE"
93,93,"Dallas County Jail - Lew Sterrett Justice Center","Dallas","TX","Dallas County Jail - Lew Sterrett Justice Center","Dallas","TX"
94,94,"Davidson County Sheriff","Nashville","TN","Davidson County Sheriff","Nashville","TN"
95,96,"Daviess County Detention","Owensboro","KY","Daviess County Detention","Owensboro","KY"
96,97,"Davis County","Farmington","UT","Davis County","Farmington","UT"
97,98,"Dekalb County Detention Center","Fort Payne","AL","Dekalb County Detention Center","Fort Payne","AL"
98,125,"Delaney Hall Detention Facility","Newark","NJ","Delaney Hall Detention Facility","Newark","NJ"
99,100,"Delaware County Jail (George W. Hill)","Thornton","PA","Delaware County Jail (George W. Hill)","Thornton","PA"
100,101,"Denver Contract Detention Facility","Aurora","CO","Denver Contract Detention Facility","Aurora","CO"
101,102,"Denver Contract Detention Facility (Cdf) Ii","Aurora","CO","Denver Contract Detention Facility (Cdf) Ii","Aurora","CO"
102,103,"Department of Corrections Hagatna","Hagatna","GU","Department of Corrections Hagatna","Hagatna","GU"
103,400,"Desert View Annex","Adelanto","CA","Desert View","Adelanto","CA"
104,400,"Desert View Annex","Adelanto","CA","Desert View Annex","Adelanto","CA"
105,106,"Diamondback Correctional Facility","Watonga","OK","Diamondback Correctional Facility","Watonga","OK"
106,366,"Dilley Immigration Processing Center","Dilley","TX","Dilley Immigration Processing Center","Dilley","TX"
107,366,"Dilley Immigration Processing Center","Dilley","TX","Dilley Processing Single Adult Female","Dilley","TX"
108,108,"Camp East Montana","El Paso","TX","Dod Detention Facility At Fort Bliss","El Paso","TX"
109,109,"Dodge County Jail","Juneau","WI","Dodge County Jail","Juneau","WI"
110,110,"Dona Ana County Detention Center","Las Cruces","NM","Dona Ana County Detention Center","Las Cruces","NM"
111,111,"Dorchester County Detention Center","Cambridge","MD","Dorchester County Detention Center","Cambridge","MD"
112,112,"Dorchester County Detention Center","Summerville","SC","Dorchester County Detention Center","Summerville","SC"
113,113,"Douglas County","Superior","WI","Douglas County","Superior","WI"
114,114,"Douglas County Department of Corrections","Omaha","NE","Douglas County Department of Corrections","Omaha","NE"
115,115,"East Hidalgo Detention Center","La Villa","TX","East Hidalgo Detention Center","La Villa","TX"
116,116,"East Mesa Detention Facility","San Diego","CA","East Mesa Detention Facility","San Diego","CA"
117,117,"Eden Detention Center","Eden","TX","Eden Detention Center","Eden","TX"
118,118,"El Paso County Detention Facility","El Paso","TX","El Paso County Detention Facility","El Paso","TX"
119,119,"El Paso Service Processing Center","El Paso","TX","El Paso Service Processing Center","El Paso","TX"
120,120,"El Valle Detention Facility","Raymondville","TX","El Valle Detention Facility","Raymondville","TX"
121,121,"Elizabeth Detention Center","Elizabeth","NJ","Elizabeth Detention Center","Elizabeth","NJ"
122,122,"Elmore County Jail","Mountain Home","ID","Elmore County Jail","Mountain Home","ID"
123,123,"Eloy Detention Center","Eloy","AZ","Eloy Detention Center","Eloy","AZ"
124,124,"Erie County Jail","Erie","PA","Erie County Jail","Erie","PA"
125,399,"Essex County Correctional Facility","Newark","NJ","Essex County Correctional Facility","Newark","NJ"
126,127,"Etowah County Jail","Gadsden","AL","Etowah County Jail","Gadsden","AL"
127,127,"Etowah County Jail","Gadsden","AL","Etowah County Jail (Alabama)","Gadsden","AL"
128,128,"Euless City Jail","Euless","TX","Euless City Jail","Euless","TX"
129,129,"FCI Atlanta","Atlanta","GA","FCI Atlanta","Atlanta","GA"
130,130,"FDC Philadelphia","Philadelphia","PA","FDC Philadelphia","Philadelphia","PA"
131,303,"Farmville Detention Center","Farmville","VA","Farmville Detention Center","Farmville","VA"
132,132,"Fayette County Detention Center","Lexington","KY","Fayette County Detention Center","Lexington","KY"
133,134,"Florence Service Processing Center","Florence","AZ","Florence Service Processing Center","Florence","AZ"
134,135,"Florence Staging Facility","Florence","AZ","Florence Staging Facility","Florence","AZ"
135,136,"Florida Soft-Sided Facility","Ochopee","FL","Florida Soft-Sided Facility","Ochopee","FL"
136,137,"Floyd County Jail","Rome","GA","Floyd County Jail","Rome","GA"
137,138,"Folkston Annex IPC","Folkston","GA","Folkston Annex IPC","Folkston","GA"
138,139,"Folkston ICE Processing Center","Folkston","GA","Folkston ICE Processing Center","Folkston","GA"
139,225,"Folkston Main IPC","Folkston","GA","Folkston Main IPC","Folkston","GA"
140,141,"Forsyth County Jail","Winston-Salem","NC","Forsyth County Jail","Winston-Salem","NC"
141,142,"Franklin County House of Correction","Greenfield","MA","Franklin County House of Correction","Greenfield","MA"
142,144,"Frederick County Detention Center","Frederick","MD","Frederick County Detention Center","Frederick","MD"
143,145,"Freeborn County Adult Detention Center","Albert Lea","MN","Freeborn County Adult Detention Center","Albert Lea","MN"
144,146,"Fulton County Jail Indiana","Rochester","IN","Fulton County Jail Indiana","Rochester","IN"
145,147,"Garvin County Detention Center","Pauls Valley","OK","Garvin County Detention Center","Pauls Valley","OK"
146,148,"Gaston County Jail","Gastonia","NC","Gaston County Jail","Gastonia","NC"
147,149,"Geauga County Jail","Chardon","OH","Geauga County Jail","Chardon","OH"
148,150,"Glades County Detention Center","Moore Haven","FL","Glades County Detention Center","Moore Haven","FL"
149,151,"Golden State Annex","McFarland","CA","Golden State Annex","McFarland","CA"
150,152,"Grand Forks County Correctional Facility","Grand Forks","ND","Grand Forks County Correctional Facility","Grand Forks","ND"
151,153,"Grayson County Jail","Leitchfield","KY","Grayson County Jail","Leitchfield","KY"
152,154,"Greene County Jail","Springfield","MO","Greene County Jail","Springfield","MO"
153,155,"Guaynabo MDC (San Juan)","San Juan","PR","Guaynabo MDC (San Juan)","San Juan","PR"
154,156,"Hall County Department of Corrections","Grand Island","NE","Hall County Department of Corrections","Grand Island","NE"
155,158,"Hancock County Public Safety Complex","Bay St. Louis","MS","Hancock County Pub Sfty Cplx","Bay St. Louis","MS"
156,158,"Hancock County Public Safety Complex","Bay St. Louis","MS","Hancock County Public Safety Complex","Bay St. Louis","MS"
157,159,"Hardin County Jail","Eldora","IA","Hardin County Jail","Eldora","IA"
158,160,"Henderson County Jail","Athens","TX","Henderson County Jail","Athens","TX"
159,162,"Henderson Detention","Henderson","NV","Henderson Detention","Henderson","NV"
160,162,"Henderson Detention","Henderson","NV","Henderson Detention Center","Henderson","NV"
161,163,"Hillsborough County Jail","Tampa","FL","Hillsborough County Jail","Tampa","FL"
162,164,"Holiday Inn Exp San Antonio","San Antonio","TX","Holiday Inn Exp San Antonio","San Antonio","TX"
163,165,"Holiday Inn Express-Casa De La Luz","Phoenix","AZ","Holiday Inn Express-Casa De La Luz","Phoenix","AZ"
164,166,"Honolulu Federal Detention Center","Honolulu","HI","Honolulu Federal Detention Center","Honolulu","HI"
165,167,"Hopkins County Jail","Madisonville","KY","Hopkins County Jail","Madisonville","KY"
166,168,"Houston Processing Center","Houston","TX","Houston Processing Center","Houston","TX"
167,169,"Howard County Detention Center","Jessup","MD","Howard County Detention Center","Jessup","MD"
168,170,"Hudson County Correctional Center","Kearny","NJ","Hudson County Correctional Center","Kearny","NJ"
169,171,"IAH Secure Adult Detention Facility (Polk)","Livingston","TX","IAH Secure Adult Detention Facility (Polk)","Livingston","TX"
170,303,"Farmville Detention Center","Farmville","VA","Ica - Farmville","Farmville","VA"
171,303,"Farmville Detention Center","Farmville","VA","Immigration Centers of America Farmville","Farmville","VA"
172,174,"Imperial Regional Detention Facility","Calexico","CA","Imperial Regional Detention Facility","Calexico","CA"
173,175,"Irwin County Detention Center","Ocilla","GA","Irwin County Detention Center","Ocilla","GA"
174,176,"JTF Camp Six","Guantanamo Bay","Cuba","JTF Camp Six","Guantanamo Bay","Cuba"
175,177,"Jack Harwell Detention Center","Waco","TX","Jack Harwell Detention Center","Waco","TX"
176,178,"Jackson Parish Correctional Center","Jonesboro","LA","Jackson Parish Correctional Center","Jonesboro","LA"
177,179,"James A. Musick Facility","Irvine","CA","James A. Musick Facility","Irvine","CA"
178,180,"Jefferson County Jail","Rigby","ID","Jefferson County Jail","Rigby","ID"
179,182,"Joe Corley Processing Center","Conroe","TX","Joe Corley ICE Processing Center","Conroe","TX"
180,182,"Joe Corley Processing Center","Conroe","TX","Joe Corley Processing Center","Conroe","TX"
181,183,"Johnson County Corrections Center","Cleburne","TX","Johnson County Corrections Center","Cleburne","TX"
182,184,"Kandiyohi County Jail","Willmar","MN","Kandiyohi County Jail","Willmar","MN"
183,185,"Kankakee County Jail (Jerome Combs Detention Center)","Kankakee","IL","Kankakee County Jail (Jerome Combs Detention Center)","Kankakee","IL"
184,190,"Karnes County Residential Center","Karnes City","TX","Karnes County Civil Detention Center","Karnes City","TX"
185,188,"Karnes County Correctional Center","Karnes City","TX","Karnes County Correctional Center","Karnes City","TX"
186,191,"Karnes County Immigration Processing Center","Karnes City","TX","Karnes County Immigration Processing Center","Karnes City","TX"
187,190,"Karnes County Residential Center","Karnes City","TX","Karnes County Residential Center","Karnes City","TX"
188,191,"Karnes County Immigration Processing Center","Karnes City","TX","Karnes County Residential Center2","Karnes City","TX"
189,192,"Kay County Justice Facility","Newkirk","OK","Kay County Justice Facility","Newkirk","OK"
190,193,"Kenosha County Detention Center","Kenosha","WI","Kenosha County Detention Center","Kenosha","WI"
191,194,"Kenton County Jail","Covington","KY","Kenton County Jail","Covington","KY"
192,195,"Kittitas County Jail","Ellensburg","WA","Kittitas County Jail","Ellensburg","WA"
193,196,"Knox County Detention Facility","Knoxville","TN","Knox County Detention Facility","Knoxville","TN"
194,197,"Krome North Service Processing Center","Miami","FL","Krome North Service Processing Center","Miami","FL"
195,199,"La Palma Correctional Center","Eloy","AZ","La Palma Correction Center - Apso","Eloy","AZ"
196,199,"La Palma Correctional Center","Eloy","AZ","La Palma Correctional Center","Eloy","AZ"
197,200,"La Paz County Adult Detention Facility","Parker","AZ","La Paz County Adult Detention Facility","Parker","AZ"
198,201,"La Quinta Inn By Wyndham SNA","San Antonio","TX","La Quinta Inn By Wyndham SNA","San Antonio","TX"
199,202,"La Quinta-Wyndham-Casa De Paz","Pearsall","TX","La Quinta-Wyndham-Casa De Paz","Pearsall","TX"
200,203,"La Salle County Regional Detention Center","Encinal","TX","La Salle County Regional Detention Center","Encinal","TX"
201,402,"Lafayette Parish Correctional Center","Lafayette","LA","Lafayette Parish Correctional Center","Lafayette","LA"
202,204,"Lake County Jail","Tavares","FL","Lake County Jail","Tavares","FL"
203,205,"Laramie County Jail","Cheyenne","WY","Laramie County Jail","Cheyenne","WY"
204,206,"Laredo Processing Center","Laredo","TX","Laredo Processing Center","Laredo","TX"
205,207,"Lasalle Correctional Center Olla","Olla","LA","Lasalle Correctional Center Olla","Olla","LA"
206,208,"Central Louisiana ICE Processing Center (CLIPC)","Jena","LA","Lasalle ICE Processing Center (Jena)","Jena","LA"
207,209,"Laurel County Correctional Center","London","KY","Laurel County Correctional Center","London","KY"
208,210,"Lawrence County","Deadwood","SD","Lawrence County","Deadwood","SD"
209,211,"Leavenworth US Penitentiary","Leavenworth","KS","Leavenworth US Penitentiary","Leavenworth","KS"
210,212,"Lehigh County Jail (Pennsylvania)","Allentown","PA","Lehigh County Jail (Pennsylvania)","Allentown","PA"
211,213,"Levy County Jail","Bronson","FL","Levy County Jail","Bronson","FL"
212,403,"Lewisburg US Penitentiary","Lewisburg","PA","Lewisburg US Penitentiary","Lewisburg","PA"
213,214,"Lexington County Jail","Lexington","SC","Lexington County Jail","Lexington","SC"
214,215,"Limestone County Detention Center","Groesbeck","TX","Limestone County Detention Center","Groesbeck","TX"
215,216,"Lincoln County Detention Center","Troy","MO","Lincoln County Detention Center","Troy","MO"
216,217,"Lincoln County Jail","North Platte","NE","Lincoln County Jail","North Platte","NE"
217,218,"Linn County Jail","Cedar Rapids","IA","Linn County Jail","Cedar Rapids","IA"
218,219,"Logan County Jail","Guthrie","OK","Logan County Jail","Guthrie","OK"
219,220,"Lonoke Police Department","Lonoke","AR","Lonoke Police Department","Lonoke","AR"
220,221,"Louisiana ICE Processing","Angola","LA","Louisiana ICE Processing","Angola","LA"
221,222,"Lubbock County Detention Center","Lubbock","TX","Lubbock County Detention Center","Lubbock","TX"
222,223,"Madison County Jail","Canton","MS","Madison County Jail","Canton","MS"
223,224,"Mahoning County Jail","Youngstown","OH","Mahoning County Jail","Youngstown","OH"
224,225,"Folkston Main IPC","Folkston","GA","Main - Folkston IPC (D Ray James)","Folkston","GA"
225,226,"Marion County Jail","Indianapolis","IN","Marion County Jail","Indianapolis","IN"
226,227,"Marshall County Jail","Marshalltown","IA","Marshall County Jail","Marshalltown","IA"
227,228,"Martin County Jail","Stuart","FL","Martin County Jail","Stuart","FL"
228,229,"Mccook Detention Center","McCook","NE","Mccook Detention Center","McCook","NE"
229,230,"Mchenry County Correctional Facility","Woodstock","IL","Mchenry County Correctional Facility","Woodstock","IL"
230,231,"Mesa Verde ICE Processing Center","Bakersfield","CA","Mesa Verde ICE Processing Center","Bakersfield","CA"
231,232,"Miami Correctional Center","Bunker Hill","IN","Miami Correctional Center","Bunker Hill","IN"
232,233,"Miami Federal Detention","Miami","FL","Miami Federal Detention","Miami","FL"
233,234,"Miami Staging Facility","Miami","FL","Miami Staging Facility","Miami","FL"
234,235,"Midland County Detention Center","Midland","TX","Midland County Detention Center","Midland","TX"
235,404,"Migrant Ops Center Main A","Fpo","FL","Migrant Ops Center Main A","Fpo","FL"
236,236,"Miller County Jail","Texarkana","AR","Miller County Jail","Texarkana","AR"
237,237,"Minicassia Detention Center","Burley","ID","Minicassia Detention Center","Burley","ID"
238,238,"Minnehaha County Jail","Sioux Falls","SD","Minnehaha County Jail","Sioux Falls","SD"
239,239,"Monroe County Detention Center","Key West","FL","Monroe County Detention Center","Key West","FL"
240,240,"Monroe County Detention-Dorm","Monroe","MI","Monroe County Detention-Dorm","Monroe","MI"
241,241,"Montgomery City Jail","Montgomery","AL","Montgomery City Jail","Montgomery","AL"
242,242,"Montgomery County Jail","Fonda","NY","Montgomery County Jail","Fonda","NY"
243,243,"Montgomery County Jail","Montgomery City","MO","Montgomery County Jail","Montgomery City","MO"
244,244,"Montgomery ICE Processing Center","Conroe","TX","Montgomery ICE Processing Center","Conroe","TX"
245,245,"Morgan County Adult Detention Center","Versailles","MO","Morgan County Adult Detention Center","Versailles","MO"
246,246,"Morrow County Correctional Facility","Mount Gilead","OH","Morrow County Correctional Facility","Mount Gilead","OH"
247,248,"Moshannon Valley Processing Center","Philipsburg","PA","Moshannon Valley Correctional","Philipsburg","PA"
248,248,"Moshannon Valley Processing Center","Philipsburg","PA","Moshannon Valley Processing Center","Philipsburg","PA"
249,249,"Muscatine County Jail","Muscatine","IA","Muscatine County Jail","Muscatine","IA"
250,250,"Nassau County Correctional Center","East Meadow","NY","Nassau County Correctional Center","East Meadow","NY"
251,251,"Natchitoches Parish Detention. Center","Natchitoches","LA","Natchitoches Parish Detention. Center","Natchitoches","LA"
252,252,"Natrona County Jail","Casper","WY","Natrona County Jail","Casper","WY"
253,253,"Nelson Coleman Correction","Killona","LA","Nelson Coleman Correction","Killona","LA"
254,254,"Nevada Southern Detention Center","Pahrump","NV","Nevada Southern Detention Center","Pahrump","NV"
255,255,"New Hanover County Jail","Castle Hayne","NC","New Hanover County Jail","Castle Hayne","NC"
256,256,"Niagara County Jail","Lockport","NY","Niagara County Jail","Lockport","NY"
257,257,"Nobles County Jail","Worthington","MN","Nobles County Jail","Worthington","MN"
258,258,"North Central Regional Jail","Greenwood","WV","North Central Regional Jail","Greenwood","WV"
259,260,"North Lake Correctional Facility","Baldwin","MI","North Lake Correctional F","Baldwin","MI"
260,260,"North Lake Correctional Facility","Baldwin","MI","North Lake Correctional Facility","Baldwin","MI"
261,262,"Northeast Ohio Correctional Center","Youngstown","OH","Northeast Ohio Correctional Center","Youngstown","OH"
262,262,"Northeast Ohio Correctional Center","Youngstown","OH","Northeast Ohio Correctional Center (Youngstown Cdf)","Youngstown","OH"
263,263,"Northern Oregon Correctional Facility","The Dalles","OR","Northern Oregon Correctional Facility","The Dalles","OR"
264,264,"Northern Oregon Juvenile Detention","The Dalles","OR","Northern Oregon Juvenile Detention","The Dalles","OR"
265,265,"Northern Regional Jail","Moundsville","WV","Northern Regional Jail","Moundsville","WV"
266,357,"Northwest ICE Processing Center","Tacoma","WA","Northwest ICE Processing Center","Tacoma","WA"
267,357,"Northwest ICE Processing Center","Tacoma","WA","Northwest ICE Procsesing Center","Tacoma","WA"
268,268,"Northwest Regional Corrections Center","Crookston","MN","Northwest Regional Corrections Center","Crookston","MN"
269,269,"Northwest State Correctional Center","Swanton","VT","Northwest State Correctional Center","Swanton","VT"
270,271,"Nye County Detention Center (Nevada)","Pahrump","NV","Nye County Detention Center, Southern (Pahrump)","Pahrump","NV"
271,271,"Nye County Detention Center (Nevada)","Pahrump","NV","Nye County Sheriff-Pahrump","Pahrump","NV"
272,272,"Ogle County Jail","Oregon","IL","Ogle County Jail","Oregon","IL"
273,273,"Okmulgee County Jail","Okmulgee","OK","Okmulgee County Jail","Okmulgee","OK"
274,274,"Oldham County Detention Center","La Grange","KY","Oldham County Detention Center","La Grange","KY"
275,274,"Oldham County Detention Center","La Grange","KY","Oldham County Jail","La Grange","KY"
276,279,"Orange County Jail (New York)","Goshen","NY","Orange County Jail","Goshen","NY"
277,278,"Orange County Jail (Florida)","Orlando","FL","Orange County Jail","Orlando","FL"
278,278,"Orange County Jail (Florida)","Orlando","FL","Orange County Jail (Florida)","Orlando","FL"
279,279,"Orange County Jail (New York)","Goshen","NY","Orange County Jail (New York)","Goshen","NY"
280,281,"Otay Mesa Detention Center","San Diego","CA","Otay Mesa Detention Center","San Diego","CA"
281,281,"Otay Mesa Detention Center","San Diego","CA","Otay Mesa Detention Center (San Diego Cdf)","San Diego","CA"
282,282,"Otero County Detention","Alamogordo","NM","Otero County Detention","Alamogordo","NM"
283,283,"Otero County Processing Center","Chaparral","NM","Otero County Processing Center","Chaparral","NM"
284,284,"Ozark County Sheriff's Office","Gainesville","MO","Ozark County Sheriff's Office","Gainesville","MO"
285,285,"Pennington County Jail (South Dakota)","Rapid City","SD","Pennington County Jail (South Dakota)","Rapid City","SD"
286,288,"Phelps County Jail (Nebraska)","Holdrege","NE","Phelps County Jail","Holdrege","NE"
287,287,"Phelps County Jail (Missouri)","Rolla","MO","Phelps County Jail (Missouri)","Rolla","MO"
288,288,"Phelps County Jail (Nebraska)","Holdrege","NE","Phelps County Jail (Nebraska)","Holdrege","NE"
289,289,"Pickens County Detention Center","Carrollton","AL","Pickens County Detention Center","Carrollton","AL"
290,291,"Pike County Jail","Lords Valley","PA","Pike County Correctional Facility","Lords Valley","PA"
291,291,"Pike County Jail","Lords Valley","PA","Pike County Jail","Lords Valley","PA"
292,292,"Pine Prairie ICE Processing Center","Pine Prairie","LA","Pine Prairie ICE Processing Center","Pine Prairie","LA"
293,293,"Pinellas County Jail","Clearwater","FL","Pinellas County Jail","Clearwater","FL"
294,294,"Platte County Detention Center","Platte City","MO","Platte County Detention Center","Platte City","MO"
295,295,"Platte County Jail","Wheatland","WY","Platte County Jail","Wheatland","WY"
