"canonical_id","canonical_name","detloc","facility_address","facility_city","facility_state","facility_zip","facility_type_detailed","facility_type_wiki","id_range","type_detailed_corrected","type_grouped_corrected"
28,"Bourbon County Detention Center","BOURBKY","Bourbon Co Courthouse, Main Street","Paris","KY","40361","IGSA","Jail","panel","IGSA","Non-Dedicated"
29,"Bradford County Jail","BRDFDFL","945 N Temple Ave","Starke","FL","32091","IGSA","Jail","panel","IGSA","Non-Dedicated"
30,"Bristol County Detention Center","BRINDMA","400 Faunce Corner Road","North Dartmouth","MA","2747","IGSA","Jail","panel","IGSA","Non-Dedicated"
31,"Brooklyn MDC","BOPBRO","100 29th Street","Brooklyn","NY","11232","BOP","Federal Prison","panel","BOP","Federal"
32,"Brooks County Detention Center","BROKSTX","901 County Road 201","Falfurrias","TX","78355","USMS IGA","Jail","panel","USMS IGA","Federal"
34,"Broome County Jail","BROMMNY","897 Front Street","Binghamton","NY","13905","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
35,"Broward County Jail","BROJAFL","555 SE 1st Avenue","Fort Lauderdale","FL","33301","IGSA","Jail","panel","IGSA","Non-Dedicated"
36,"Broward Transitional Center","WCCPBFL","3900 North Powerline Road","Pompano Beach","FL","33073","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
38,"Buffalo (Batavia) Service Processing Center","BTV","4250 Federal Drive","Batavia","NY","14020","SPC","ICE Migrant Detention Center","panel","SPC","Dedicated"
39,"Burleigh County Detention Center","BURLEND","P.o. Box 1416","Bismarck","ND","58502","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
40,"Burnet County Jail","BURNETX","Jail Administrator","Burnet","TX","78611","USMS IGA","Jail","panel","USMS IGA","Federal"
41,"Butler County Jail","BUTLEKS","701 SE Stone Road","El Dorado","KS","67042","USMS IGA","Jail","panel","USMS IGA","Federal"
42,"Butler County Jail","BUTLEOH","705 Hanover Street","Hamilton","OH","45011","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
43,"Cabarrus County Jail","CBRRSNC","30 Corban Avenue SE","Concord","NC","28025","IGSA","Jail","panel","IGSA","Non-Dedicated"
44,"Cache County Jail","CACHEUT","50 West 200 North","Logan","UT","84321","USMS IGA","Jail","panel","USMS IGA","Federal"
45,"Caldwell County Detention Center","CALDWMO","280 West Main Street","Kingston","MO","64650","IGSA","Jail","panel","IGSA","Non-Dedicated"
46,"Calhoun County Correctional Center","CALHOMI","185 East Michigan Avenue","Battle Creek","MI","49014","IGSA","Jail","panel","IGSA","Non-Dedicated"
48,"California City Immigration Processing Center","CACTYCA","22844 Virginia Boulevard","California City","CA","93505","CDF","Private Migrant Detention Center","panel","USMS IGA","Federal"
50,"Cambria County Prison","CAMBRPA","425 Manor Drive","Ebensburg","PA","15931","USMS IGA","Jail","panel","USMS IGA","Federal"
52,"Campbell County Detention Center","CPBDCKY","601 Central Ave","Newport","KY","41071","USMS IGA","Jail","panel","USMS IGA","Federal"
53,"Caroline Detention Facility","CARDFVA","11093 S.w. Lewis Memorial Drive","Bowling Green","VA","22427","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
54,"Carver County Jail","CARJAMN","600 East Fourth St.","Chaska","MN","55318","IGSA","Jail","panel","IGSA","Non-Dedicated"
56,"Cascade County Jail, Montana","CASCAMT","3800 Ulm North Frontage Road","Great Falls","MT","59404","USMS IGA","Jail","panel","USMS IGA","Federal"
57,"Cass County Jail","CASSCNE","336 Main Street","Plattsmouth","NE","68048","USMS IGA","Jail","panel","USMS IGA","Federal"
58,"Catahoula Correctional Center","CATAHLA","499 Old Columbia Road","Harrisonburg","LA","71430","IGSA","Jail","panel","IGSA","Non-Dedicated"
59,"CBP Chula Vista BPS",NA,"311 Athey Ave","San Diego","CA","92154","Other","CBP Hold Facility","panel",NA,NA
60,"CBP San Ysidro POE",NA,"720 E San Ysidro Blvd","San Ysidro","CA","92173","Other","CBP Hold Facility","panel",NA,NA
61,"Central Arizona Florence Correctional Complex","CCADCAZ","1100 Bowling Road","Florence","AZ","85232","USMS CDF","Private Migrant Detention Center","panel","USMS IGA","Federal"
63,"Central Texas Detention Facility","WACLATX","218 S. Laredo St","San Antonio","TX","78207","USMS IGA","Jail","panel","USMS IGA","Federal"
64,"Charleston County Detention Center","CHARLSC","3841 Leeds Avenue","North Charleston","SC","29405","USMS IGA","Jail","panel","USMS IGA","Federal"
66,"Chase County Jail","CHASEKS","301 South Walnut Street","Cottonwood Falls","KS","66845","IGSA","Jail","panel","IGSA","Non-Dedicated"
67,"Chautauqua County Jail","CHACONY","15 E. Chautauqua Street","Mayville","NY","14757","IGSA","Jail","panel","IGSA","Non-Dedicated"
68,"Chavez Detention Center","CHAVENM","3701 S. Atkinson","Roswell","NM","88201","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
70,"Chippewa County SSM","CHIPPMI","325 Court Street","Sault Ste. Marie","MI","49783","IGSA","Jail","panel","IGSA","Non-Dedicated"
71,"Chittenden Regional Correctional Facility","VTCHTDN","7 Farrell Street","South Burlington","VT","05403","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
72,"Christian County Jail","CHRISKY","410 West 7th Street,","Hopkinsville","KY","42240","USMS IGA","Jail","panel","USMS IGA","Federal"
73,"Christian County Jail","CHRISMO","110 West Elm","Ozark","MO","65721","IGSA","Jail","panel","IGSA","Non-Dedicated"
74,"Cibola County Correctional Center","CIBOCNM","2000 Cibola Loop","Milan","NM","87021","IGSA","Jail","panel","IGSA","Non-Dedicated"
75,"Cibola County Detention Center","CIBOLNM","P.o. Box 3540","Grants","NM","87020","IGSA","Jail","panel","IGSA","Non-Dedicated"
76,"Cimmarron Correctional Facility","OKCIMMC","3700 S. Kings Hwy","Cushing","OK","74023","USMS IGA","Jail","panel","USMS IGA","Federal"
77,"Clark County Jail (Indiana)","CLARKIN","501 East Court Ave.","Jeffersonville","IN","47130","USMS IGA","Jail","panel","USMS IGA","Federal"
79,"Clay County Justice Center","CLAYCIN","611 East Jackson Street","Brazil","IN","47834","USMS IGA","Jail","panel","USMS IGA","Federal"
80,"Clinton County Correctional Facility",NA,"419 Shoemaker Road","Lock Haven","PA","17745","USMS IGA","Jail","panel",NA,NA
81,"Clinton County Correctional Facility","CLINTPA","58 Pine Mountain Rd.","McElhattan","PA","17748","USMS IGA","Jail","panel","USMS IGA","Federal"
82,"Clinton County Jail","CLINTIN","301 E Walnut Street","Frankfort","IN","46041","USMS IGA","Jail","panel","USMS IGA","Federal"
83,"Clinton County Jail","CLICONY","25 Mccarthy Drive","Plattsburgh","NY","12901","USMS IGA","Jail","panel","USMS IGA","Federal"
84,"Coastal Bend Detention Facility","CBENDTX","4909 Fm 2826","Robstown","TX","78380","USMS IGA","Jail","panel","USMS IGA","Federal"
85,"Cobb County Jail","COBBJGA","1825 County Services Parkway","Marietta","GA","30060","IGSA","Jail","panel","IGSA","Non-Dedicated"
86,"Collier County Naples Jail Center","COLLIFL","3347 Tamiami Trail E","Naples","FL","34112","IGSA","Jail","panel","IGSA","Non-Dedicated"
87,"Comfort Suites-Casa Consuelo","CISEPTX","1940 Airway Blvd","El Paso","TX","79925","FAMILY STAGING","Hotel","panel","Family Staging","Family/Youth"
88,"Correctional. Center of Northwest Ohio","OHNORWE","3151 County Road 2425","Stryker","OH","43557","USMS IGA","Jail","panel","USMS IGA","Federal"
89,"Cowlitz County Juvenile","COWJVWA","1725 1st Ave.","Longview","WA","98632","JUVENILE","Juvenile Detention Center","panel","Juvenile","Family/Youth"
90,"Crow Wing County Jail","CROWGMN","313 Laurel St","Brainerd","MN","56401","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
91,"Cumberland County Jail","CUMBEME","50 County Way","Portland","ME","04102","USMS IGA","Jail","panel","USMS IGA","Federal"
92,"Dakota County Jail","DAKOTNE","1601 Broadway","Dakota City","NE","68731","USMS IGA","Jail","panel","USMS IGA","Federal"
93,"Dallas County Jail - Lew Sterrett Justice Center","DALCOTX","111 West Commerce Street","Dallas","TX","75202","USMS IGA","Jail","panel","USMS IGA","Federal"
94,"Davidson County Sheriff","DAVIDTN","448 2nd Avenue North","Nashville","TN","37210","IGSA","Jail","panel","IGSA","Non-Dedicated"
95,"Daviess County Detention",NA,"94 Grapevine Rd","Martinsburg","WV","25401","IGSA","Jail","panel",NA,NA
96,"Daviess County Detention","DVCSDKY","3337 Highway 144","Owensboro","KY","42303","USMS IGA","Jail","panel",NA,"Non-Dedicated"
97,"Davis County","DAVISUT","800 West State Street","Farmington","UT","84025","IGSA","Jail","panel",NA,"Non-Dedicated"
98,"Dekalb County Detention Center","DEKALAL","2801 Jordan Road","Fort Payne","AL","35968","USMS IGA","Jail","panel","USMS IGA","Federal"
100,"Delaware County Jail (George W. Hill)","DELAWPA","500 Chayney Road","Thornton","PA","19373","USMS IGA","Jail","panel","USMS IGA","Federal"
101,"Denver Contract Detention Facility","DENICDF","3130 Oakland St","Aurora","CO","80010","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
102,"Denver Contract Detention Facility (Cdf) Ii",NA,"11901 E. 30th Ave","Aurora","CO","80010","CDF","Private Migrant Detention Center","panel",NA,NA
103,"Department of Corrections Hagatna","GUDOCHG","203 Aspinal Ave. Po Box 3236","Hagatna","GU","96910","USMS IGA","Jail","panel","USMS IGA","Federal"
105,"Adelanto ICE Processing Center","ADLNTCA","10250 Rancho Road","Adelanto","CA","92301","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
106,"Diamondback Correctional Facility",NA,"Route 2, Box 336","Watonga","OK","73772","DIGSA","Dedicated Migrant Detention Center","panel",NA,NA
108,"Camp East Montana","EROFCB","6920 Digital Rd","El Paso","TX","79936","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
109,"Dodge County Jail","DODGEWI","215 West Central Street","Juneau","WI","53039","USMS IGA","Jail","panel","USMS IGA","Federal"
110,"Dona Ana County Detention Center","DONAANM","1850 Copper Loop","Las Cruces","NM","88004","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
111,"Dorchester County Detention Center","DORCHMD","829 Fieldcrest Road","Cambridge","MD","21613","IGSA","Jail","panel","IGSA","Non-Dedicated"
112,"Dorchester County Detention Center","DORCDSC","220 Hodge Road","Summerville","SC","29483","USMS IGA","Jail","panel","USMS IGA","Federal"
113,"Douglas County","DOUGLWI","1409 Hammond Avenue","Superior","WI","54880","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
114,"Douglas County Department of Corrections","DOCORNE","710 South 17th St","Omaha","NE","68102","IGSA","Jail","panel","IGSA","Non-Dedicated"
115,"East Hidalgo Detention Center","EHDLGTX","1300 TX-107","La Villa","TX","78562","USMS IGA","Jail","panel","USMS IGA","Federal"
116,"East Mesa Detention Facility","EMESACA","446 Alta Rd","San Diego","CA","92158","IGSA","Jail","panel","IGSA","Non-Dedicated"
117,"Eden Detention Center","EDNDCTX","702 E Broadway St","Eden","TX","76837","USMS IGA","Jail","panel","USMS IGA","Federal"
118,"El Paso County Detention Facility","EPCDFTX","601 E. Overland","El Paso","TX","79901","IGSA","Jail","panel","IGSA","Non-Dedicated"
119,"El Paso Service Processing Center","EPC","8915 Montana Ave.","El Paso","TX","79925","SPC","ICE Migrant Detention Center","panel","SPC","Dedicated"
120,"El Valle Detention Facility","ELVDFTX","1800 Industrial Drive","Raymondville","TX","78580","DIGSA","Dedicated Migrant Detention Center","panel","IGSA","Non-Dedicated"
121,"Elizabeth Detention Center","ELZICDF","625 Evans Street","Elizabeth","NJ","07201","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
122,"Elmore County Jail","ELMORID","2255 E. 8th North","Mountain Home","ID","83647","USMS IGA","Jail","panel","USMS IGA","Federal"
123,"Eloy Detention Center","EAZ","1705 East Hanna Rd.","Eloy","AZ","85131","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
124,"Erie County Jail","ERICOPA","Department Of Corrections 1618 Ash Street","Erie","PA","16503","USMS IGA","Jail","panel","USMS IGA","Federal"
125,"Delaney Hall Detention Facility","ESSEXNJ","451 Doremus Avenue","Newark","NJ","07105","CDF","Private Migrant Detention Center","panel","IGSA","Non-Dedicated"
127,"Etowah County Jail","ETOWAAL","827 Forrest Avenue","Gadsden","AL","35901","USMS IGA","Jail","panel","USMS IGA","Federal"
128,"Euless City Jail","EULESTX","1102 W. Euless Blvd.","Euless","TX","76040","IGSA","Jail","panel","IGSA","Non-Dedicated"
129,"FCI Atlanta","BOPATL","601 Mcdonough Boulevard, SE","Atlanta","GA","30315","BOP","Federal Prison","panel","BOP","Federal"
130,"FDC Philadelphia","BOPPHL","700 Arch St.","Philadelphia","PA","19106","BOP","Federal Prison","panel","BOP","Federal"
132,"Fayette County Detention Center","FAYETKY","600 Old Frankford Cr","Lexington","KY","40510","USMS IGA","Jail","panel","USMS IGA","Federal"
133,"Finney County Jail","FINNEKS","304 N. 9th Street","Garden City","KS","67846","IGSA","Jail","panel","IGSA","Non-Dedicated"
134,"Florence Service Processing Center","FLO","3250 North Pinal Parkway","Florence","AZ","85132","SPC","ICE Migrant Detention Center","panel","SPC","Dedicated"
135,"Florence Staging Facility","FSF","3250 North Pinal Parkway","Florence","AZ","85232","STAGING","ICE Staging Facility","panel","Staging","Hold/Staging"
136,"Florida Soft-Sided Facility","FLDSSFS","54575 Tamiami Trl E","Ochopee","FL","34141","STATE","State Migrant Detention Center","panel",NA,"Dedicated"
137,"Floyd County Jail","FLOYDGA","2526 New Calhoun Hwy","Rome","GA","30161","USMS IGA","Jail","panel","USMS IGA","Federal"
138,"Folkston Annex IPC","FIPCAGA","3424 Hwy 252 East","Folkston","GA","31537","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
139,"Folkston ICE Processing Center","FIPCDGA","3262 Highway 252","Folkston","GA","31537","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
141,"Forsyth County Jail","FORSYNC","201 North Church Street","Winston-Salem","NC","27101","USMS IGA","Jail","panel","USMS IGA","Federal"
142,"Franklin County House of Correction","GREENMA","160 Elm Street","Greenfield","MA","1301","USMS IGA","Jail","panel","USMS IGA","Federal"
143,"Franklin County Jail","FRANKPA","625 Franklin Farm Ln","Chambersburg","PA","17201","USMS IGA","Jail","panel","USMS IGA","Federal"
144,"Frederick County Detention Center","FREDEMD","7300 Marcie's Choice Lane","Frederick","MD","21704","IGSA","Jail","panel","IGSA","Non-Dedicated"
145,"Freeborn County Adult Detention Center","FREEBMN","411 South Broadway Avenue","Albert Lea","MN","56007","IGSA","Jail","panel","IGSA","Non-Dedicated"
146,"Fulton County Jail Indiana",NA,"2006 Sweetgum Rd","Rochester","IN","46975","USMS IGA","Jail","panel",NA,NA
147,"Garvin County Detention Center","GARVIOK","201 West Grant Avenue","Pauls Valley","OK","73075","IGSA","Jail","panel","IGSA","Non-Dedicated"
148,"Gaston County Jail","GASTNNC","425 North Marietta Street","Gastonia","NC","28052","IGSA","Jail","panel","IGSA","Non-Dedicated"
149,"Geauga County Jail","GEAUGOH","12450 Merritt Dr","Chardon","OH","44024","USMS IGA","Jail","panel","USMS IGA","Federal"
150,"Glades County Detention Center","GLADEFL","1297 East Sr 78","Moore Haven","FL","33471","IGSA","Jail","panel","IGSA","Non-Dedicated"
151,"Golden State Annex","GLDSACA","611 Frontage Rd","McFarland","CA","93250","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
152,"Grand Forks County Correctional Facility","GFCORND","1701 North Washington St","Grand Forks","ND","58203","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
153,"Grayson County Jail","GRAYSKY","320 Shaw Station Road","Leitchfield","KY","42754","USMS IGA","Jail","panel","USMS IGA","Federal"
154,"Greene County Jail","GREENMO","1199 N Haseltine Rd","Springfield","MO","65802","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
155,"Guaynabo MDC (San Juan)","BOPGUA","Hwy 28 Intsect Of Road 165","San Juan","PR","939","BOP","Federal Prison","panel","BOP","Federal"
156,"Hall County Department of Corrections","HASHENE","110 Public Safety Drive","Grand Island","NE","68801","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
158,"Hancock County Public Safety Complex","HCPSCMS","8450 Highway 90","Bay St. Louis","MS","39520","IGSA","Jail","panel","IGSA","Non-Dedicated"
159,"Hardin County Jail","HARDJIA","1116 14th Avenue","Eldora","IA","50627","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
160,"Henderson County Jail","HENDETX","206-A N Murchison Street","Athens","TX","75751","IGSA","Jail","panel","IGSA","Non-Dedicated"
162,"Henderson Detention","HENDENV","18 E Basic Road","Henderson","NV","89015","USMS IGA","Jail","panel","USMS IGA","Federal"
163,"Hillsborough County Jail","HICOJFL","1201 North Orient Road","Tampa","FL","33619","IGSA","Jail","panel","IGSA","Non-Dedicated"
164,"Holiday Inn Exp San Antonio","HIESATX","2027 S East Loop 410","San Antonio","TX","78220","Other","Hotel","panel","Hotel","Hotel"
165,"Holiday Inn Express-Casa De La Luz","HESPCAZ","15221 S  50th St","Phoenix","AZ","85044","FAMILY STAGING","Hotel","panel","Family Staging","Family/Youth"
166,"Honolulu Federal Detention Center","BOPHON","351 Elliott St.","Honolulu","HI","96819","BOP","Federal Prison","panel","BOP","Federal"
167,"Hopkins County Jail","HPKNSKY","2250 Lafoon Trail","Madisonville","KY","42431","USMS IGA","Jail","panel","USMS IGA","Federal"
168,"Houston Processing Center","HOUICDF","15850 Export Plaza Drive","Houston","TX","77032","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
169,"Howard County Detention Center","HOWARMD","7301 Waterloo Road","Jessup","MD","20794","IGSA","Jail","panel","IGSA","Non-Dedicated"
170,"Hudson County Correctional Center","HUDSONJ","30-35 Hackensack Ave.","Kearny","NJ","7032","IGSA","Jail","panel","IGSA","Non-Dedicated"
171,"IAH Secure Adult Detention Facility (Polk)","POLKCTX","3400 Fm 350 South","Livingston","TX","77351","DIGSA","Dedicated Migrant Detention Center","panel","IGSA","Non-Dedicated"
174,"Imperial Regional Detention Facility","IRADFCA","1572 Gateway","Calexico","CA","92231","CDF","Private Migrant Detention Center","panel","CDF","Dedicated"
175,"Irwin County Detention Center","IRWINGA","132 Cotton Drive","Ocilla","GA","31772","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
176,"JTF Camp Six","GTMOACU","Bldg 2144, U.S. Naval Station Guantanamo Bay","Guantanamo Bay","Cuba","34009","DOD","Military Detention Center","panel","DOD","Federal"
177,"Jack Harwell Detention Center","JHRWLTX","3101 Marlin Hwy","Waco","TX","76705","USMS IGA","Jail","panel","USMS IGA","Federal"
178,"Jackson Parish Correctional Center","JKPCCLA","327 Industrial Drive","Jonesboro","LA","71251","IGSA","Jail","panel","DIGSA","Dedicated"
179,"James A. Musick Facility","MUSIKCA","13502 Musick Road","Irvine","CA","92618","IGSA","Jail","panel","IGSA","Non-Dedicated"
180,"Jefferson County Jail","JEFFEID","219 East Fremont Avenue","Rigby","ID","83442","IGSA","Jail","panel","IGSA","Non-Dedicated"
182,"Joe Corley Processing Center","JCRLYTX","500 Hilbig Rd","Conroe","TX","77301","IGSA","Jail","panel","IGSA","Non-Dedicated"
183,"Johnson County Corrections Center","JOHNSTX","1800 Ridgemar Drive","Cleburne","TX","76031","IGSA","Jail","panel","IGSA","Non-Dedicated"
184,"Kandiyohi County Jail","KANDIMN","2201 23rd St NE","Willmar","MN","56201","IGSA","Jail","panel","IGSA","Non-Dedicated"
185,"Kankakee County Jail (Jerome Combs Detention Center)","KANKEIL","3050 Justice Way","Kankakee","IL","60901","USMS IGA","Jail","panel","USMS IGA","Federal"
186,"Kansas City Holdroom","KANHOLD","9747 NW Conant Avenue","Kansas City","MO","64153","CDF","Private Migrant Detention Center","panel","Hold","Hold/Staging"
188,"Karnes County Correctional Center","KARNETX","810 Commerce Street","Karnes City","TX","78118","USMS IGA","Jail","panel","USMS IGA","Federal"
190,"Karnes County Residential Center","KCCDCTX","409 Fm 1144","Karnes City","TX","78118","FAMILY","Family Detention Center","panel","Family","Family/Youth"
191,"Karnes County Immigration Processing Center","KRNRCTX","409 Fm 1144","Karnes City","TX","78118","DIGSA","Dedicated Migrant Detention Center","panel","Family","Family/Youth"
192,"Kay County Justice Facility","KCOJFOK","1101 West Dry Road","Newkirk","OK","74647","IGSA","Jail","panel","IGSA","Non-Dedicated"
193,"Kenosha County Detention Center","KENOSWI","4777 88th Avenue","Kenosha","WI","53144","USMS IGA","Jail","panel","USMS IGA","Federal"
194,"Kenton County Jail","KENTOKY","3000 Decker Crane Lane","Covington","KY","41017","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
195,"Kittitas County Jail","KITTIWA","205 West 5th Avenue","Ellensburg","WA","98926","IGSA","Jail","panel","IGSA","Non-Dedicated"
196,"Knox County Detention Facility","KNXDFTN","5001 Maloneyville Rd","Knoxville","TN","37918","USMS IGA","Jail","panel","USMS IGA","Federal"
197,"Krome North Service Processing Center","KRO","18201 SW 12th St","Miami","FL","33194","SPC","ICE Migrant Detention Center","panel","SPC","Dedicated"
199,"La Palma Correctional Center","LPLCCAZ","5501 North La Palma Road","Eloy","AZ","85131","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
200,"La Paz County Adult Detention Facility","LAPAZAZ","1109 Arizona Ave.","Parker","AZ","85344","USMS IGA","Jail","panel","USMS IGA","Federal"
201,"La Quinta Inn By Wyndham SNA","LQSNATX","3180 Goliad Rd","San Antonio","TX","78223","Other","Hotel","panel","Hotel","Hotel"
202,"La Quinta-Wyndham-Casa De Paz","CSCLQTX","170 Medical Dr.","Pearsall","TX","78061","FAMILY STAGING","Hotel","panel","Family Staging","Family/Youth"
203,"La Salle County Regional Detention Center","LSRDCTX","832 East Texas State Highway 44","Encinal","TX","78019","USMS IGA","Jail","panel","USMS IGA","Federal"
204,"Lake County Jail","LAKCOFL","551 W. Main St.","Tavares","FL","32778","IGSA","Jail","panel","county_jail","Non-Dedicated"
205,"Laramie County Jail","LARCOWY","1910 Pioneer Avenue","Cheyenne","WY","82001","USMS IGA","Jail","panel","USMS IGA","Federal"
206,"Laredo Processing Center","LRDICDF","4702 East Saunders Street","Laredo","TX","78041","DIGSA","Dedicated Migrant Detention Center","panel","DIGSA","Dedicated"
207,"Lasalle Correctional Center Olla","OLACCLA","15976 Hwy 165","Olla","LA","71465","IGSA","Jail","panel","IGSA","Non-Dedicated"
208,"Central Louisiana ICE Processing Center (CLIPC)","JENADLA","830 Pinehill Road","Jena","LA","71342","IGSA","Jail","panel","DIGSA","Dedicated"
209,"Laurel County Correctional Center","LARELKY","440 Hammock Road","London","KY","40744","USMS IGA","Jail","panel","USMS IGA","Federal"
210,"Lawrence County","LAWRESD","80 Sherman Street","Deadwood","SD","57732","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
211,"Leavenworth US Penitentiary","BOPLVN","1300 Metropolitan Ave.","Leavenworth","KS","66048","BOP","Federal Prison","panel","BOP","Federal"
212,"Lehigh County Jail (Pennsylvania)","LVYHOPA","38 N 4th St","Allentown","PA","18102","USMS IGA","Jail","panel","Hospital","Medical"
213,"Levy County Jail","LEVYCFL","9150 NE 80th Ave","Bronson","FL","32621","IGSA","Jail","panel","IGSA","Non-Dedicated"
214,"Lexington County Jail","LEXINSC","521 Gibson Road","Lexington","SC","29072","USMS IGA","Jail","panel","USMS IGA","Federal"
215,"Limestone County Detention Center","LIMESTX","910 North Tyus Street","Groesbeck","TX","76642","USMS IGA","Jail","panel","USMS IGA","Federal"
216,"Lincoln County Detention Center","LINCOMO","65 Business Park Drive","Troy","MO","63379","IGSA","Jail","panel","IGSA","Non-Dedicated"
217,"Lincoln County Jail","LINCONE","302 N Jeffers","North Platte","NE","69101","USMS IGA","Jail","panel","IGSA","Non-Dedicated"
218,"Linn County Jail","LINNJIA","53 3rd Avenue Bridge","Cedar Rapids","IA","52401","USMS IGA","Jail","panel","USMS IGA","Federal"
219,"Logan County Jail","LOGANOK","216 S Broad St","Guthrie","OK","73044","USMS IGA","Jail","panel","USMS IGA","Federal"
220,"Lonoke Police Department","LONPDAR","203 W. Front Street","Lonoke","AR","72086","IGSA","Jail","panel","IGSA","Non-Dedicated"
221,"Louisiana ICE Processing","LICEPLA","18198 Tunica Trace Bldg E","Angola","LA","70712","IGSA","Jail","panel","SPC","Dedicated"
